gene_id,gene_symbol,id_type
ENSRNOG00000062906,,ensembl
Zfp28,Zfp28,symbol
ENSRNOG00000067308,,ensembl
Zfp583,Zfp583,symbol
Zfp667,Zfp667,symbol
ENSRNOG00000064276,,ensembl
Eddm13,Eddm13,symbol
Zscan5b,Zscan5b,symbol
Galp,Galp,symbol
Zfp444,Zfp444,symbol
Zfp787,Zfp787,symbol
Nlrp5,Nlrp5,symbol
Nlrp4,Nlrp4,symbol
RGD1564651,RGD1564651,symbol
LOC691325,LOC691325,symbol
Obox2,Obox2,symbol
LOC120098145,LOC120098145,symbol
LOC120098147,LOC120098147,symbol
ENSRNOG00000069660,,ensembl
Vom1r32,Vom1r32,symbol
Nlrp9,Nlrp9,symbol
AABR07002353.2,AABR07002353.2,symbol
Vom1r39,Vom1r39,symbol
ENSRNOG00000066116,,ensembl
ENSRNOG00000070113,,ensembl
LOC120099323,LOC120099323,symbol
Vom1r34,Vom1r34,symbol
LOC120099328,LOC120099328,symbol
Vom1r35,Vom1r35,symbol
LOC120093107,LOC120093107,symbol
AC121031.1,AC121031.1,symbol
AABR07038567.1,AABR07038567.1,symbol
Vom1r36,Vom1r36,symbol
Vom1r37,Vom1r37,symbol
RNaseP_nuc,RNaseP_nuc,symbol
Vom1r-ps45,Vom1r-ps45,symbol
Vom1r38,Vom1r38,symbol
Rasl2-9,Rasl2-9,symbol
Rfpl4a,Rfpl4a,symbol
Epn1,Epn1,symbol
U2af2,U2af2,symbol
Ccdc106,Ccdc106,symbol
Zfp580,Zfp580,symbol
LOC120100122,LOC120100122,symbol
Zfp865,Zfp865,symbol
Znf865,Znf865,symbol
AABR07002384.1,AABR07002384.1,symbol
Zfp524,Zfp524,symbol
Fiz1,Fiz1,symbol
ENSRNOG00000063757,,ensembl
Zfp579,Zfp579,symbol
Sbk3,Sbk3,symbol
Sbk2,Sbk2,symbol
Ssc5d,Ssc5d,symbol
Nat14,Nat14,symbol
Nat14,Nat14,symbol
LOC684792,LOC684792,symbol
Isoc2a,Isoc2a,symbol
Isoc2b,Isoc2b,symbol
Shisa7,Shisa7,symbol
Ube2s,Ube2s,symbol
Rpl28,Rpl28,symbol
Tmem238,Tmem238,symbol
Tmem190,Tmem190,symbol
Il11,Il11,symbol
Garin5b,Garin5b,symbol
Kmt5c,Kmt5c,symbol
LOC120100203,LOC120100203,symbol
Tmem150b,Tmem150b,symbol
Brsk1,Brsk1,symbol
Hspbp1,Hspbp1,symbol
Ppp6r1,Ppp6r1,symbol
Tmem86b,Tmem86b,symbol
Ptprh,Ptprh,symbol
Syt5,Syt5,symbol
Dnaaf3,Dnaaf3,symbol
Tnni3,Tnni3,symbol
Tnnt1,Tnnt1,symbol
Ppp1r12c,Ppp1r12c,symbol
Eps8l1,Eps8l1,symbol
